Programme ID,Cycle,Title,Abstract,Status,PI,Allocation Status,Allocated Time (h)
118.2BZ8,P118,A MUSE NFM exploration of the youngest externally photoevaporated planet forming disks in NGC2024,"Strong evidences that the Solar System formed nearby high-mass stars clash with the observations that planet forming disks in these environments survive such a short time, that planet formation could be completely suppressed. Here we want to test the hypothesis that there is enough time to form the planets if they are shielded by interstellar extinction for the first 0.5-1 Myr of their life. Instead of studying the already optically revealed but 1-3 Myr old Orion Nebula Cluster, we turn to its younger (0.5 Myr) nearby twin, NGC2024, the ""Flame Nebula"". Only the sensitivity and technical capability to AO-correct the IFS observations of MUSE NFM can for the first time unveal the surroundings of disks in this still embedded region. Building upon pioneering HST and JWST observations, we study the only 8 photoevaporated disks observable in this region. We will measure their mass loss rates and combine them to their ALMA-based disk masses, to firmly assess the time they have to form planets.",Valid,Dr. Carlo Felice Manara,Pending,N/A
118.2BWE,P118,Does Late Infall Regulate Disk Accretion?,"A major uncertainty in star and planet formation is whether protoplanetary disks evolve in isolation or remain connected to their local environment. Corona Australis (CrA) offers a unique test: most disks in its young CrA-Main population show extended structures associated with late infall of ambient material. We propose VLT/X-Shooter observations to obtain an unbiased census of mass accretion rates in CrA-Main, complementing a newly approved ALMA survey of the entire disk population designed to identify and characterize late infall. We will test whether accretion rates depends on local cloud density, whether disks undergoing infall have distinct accretion depletion timescales, and whether stellar accretion rate is linked to the infall rate. Together, X-Shooter and ALMA will connect environment, infall, disk properties, and stellar accretion across an entire Class II population, determining whether late infall actively regulates planet-forming disks.",Valid, Victor Almendros-Abad,Pending,N/A
118.2BE6,P118,Does Late Infall Reset Dust Evolution in Class II Disks?,"Class II disks are usually treated as isolated reservoirs, yet growing evidence shows that some remain connected to their natal environment and undergo renewed external accretion. Such late infall may replenish disk mass and deliver new solids available for planet formation. We propose SPHERE I and H band polarimetry of eight spiral disks spanning active infall, streamer disk interaction, post-infall candidates, and an internally perturbed control. Accurate polarized reflectivity and their ratio,   and the degrees of polarization, interpreted with radiative transfer models, will constrain the size and aggregate structure of micron-sized grains. Trends across the gas evidence selected sequence, together with spatial comparisons within disks will test how delivered grains evolve, where they are processed, and how rapidly their signature is erased. This program will provide the first systematic dust-based test of late infall during the Class II phase.",Valid, Jie Ma,Pending,N/A
118.2B78,P118,Hunting for Architectures across the Ridge: Kinematics and Orbital Network of Nomadic Exo-Neptunes (HARKONNEN),"Most of the known exoplanet population consists of close-in worlds orbiting within 30 days around their star. Among them, Neptunes stand out by their diversity in internal structure and strikingly structured demographics. The ridge, an over-occurrence of Neptunes separating a barren desert at short periods from a midly populated savanna at longer periods, represents a transition region where multiple process coexist. This makes ridge Neptunes, together with the few desert Neptunes, targets of high-interest to investigate these processes, whose interplay and relative contributions remain poorly constrained. In particular, determining the fraction of close-in Neptunes originating from late high-eccentricity migration (HEM) versus early disk-driven migration (DDM) in the ridge, or from hot Jupiters undergoing Roche-lobe overflow in the desert, is essential to understand their overall atmospheric evolution. Because these scenarios yield distinct orbital architectures, obliquity (the angle between stellar spin and planetary orbital normal) is a critical observational tracer to differentiate them. 

We therefore propose HARKONNEN, a homogeneous census of 36 Neptunes' obliquities within a volume-limited sample covering the ridge and unexplored desert. The combination of the VLT large collecting area, ESPRESSO high spectral resolution, and high-sensitivity of the Rossiter-McLaughlin Revolutions technique will enable measuring their obliquity  to a precision better than 30 deg (with an average of 15 deg over the sample). Combining these measurements with dedicated stellar photometric monitoring will allow us to derive the 3D orbital architectures of the systems and statistically reconstruct the distributions of aligned and misaligned Neptunes, assessing in particular the debated presence of a polar cluster that would reveal missing dynamical processes. 

We will interpret the measured obliquities jointly with planetary, stellar, and companion properties, using statistical analyses and secular evolutionary models coupling the competing dynamical and atmospheric processes. This approach will constrain the relative contributions of DDM and HEM, and their interplay with post-migration processes, allowing us to build a unified picture of close-in Neptune evolution. HARKONNEN offers timely complementarity to the JWST and upcoming PLATO mission, linking inner orbital architectures with the broader system architectures explored by PLATO and atmospheric compositions characterized with the JWST, and thus connecting the present-day properties of close-in Neptunes to their formation conditions beyond the ice line. At minimum, HARKONNEN will substantially increase our sampling of orbital architectures in a critical region of the Neptunian parameter space, and will provide the stellar and planetary communities with spatially-resolved stellar spectra and a catalog of Neptune candidates for atmospheric follow-up with the JWST and ground-based spectrographs.",Valid,Dr. Vincent Bourrier,Pending,N/A
118.2C09,P118,"Peter Pan, runaways, or isolated births? Unveiling the nature of the dispersed young stellar population with SOXS","Gaia XP spectra have revealed a large, previously unrecognised population of accreting young stellar objects (YSOs) located far from known star-forming regions. Their nature is unknown: they may be long-lived ""Peter Pan"" YSOs dispersed into the field, young stars ejected from star-forming sites, or the product of isolated in-situ star formation, which would challenge the clustered star formation paradigm. We propose SOXS spectroscopy of 161 of these YSOs within 200pc, all targeted by an approved ALMA survey measuring their disk masses. The simultaneous near-UV to near-IR coverage of SOXS will deliver stellar parameters, extinctions, ages, accretion rates from the Balmer jump, the Li I youth indicator, and radial velocities for 3D kinematics. Together with ALMA, these data will reveal the origin of this population, test disk evolution outside clustered environments, and calibrate Gaia XP spectra as a YSO diagnostic. As the targets are spread across the sky, this is an ideal SOXS filler.",Valid,Dr. Miguel Vioque,Pending,N/A
,P118,Testing for environmentally regulated  stellar accretion rates in Taurus,,Invalid,Dr. Andrew Winter,Pending,N/A
118.2BCN,P118,X-Shooting the Gold Sample of Herbig stars,"Herbig stars are intermediate-mass young stars surrounded by protoplanetary disks, offering a key laboratory for star and planet formation between the T Tauri and massive young star regimes. A “Gold Sample” constituted by the complete population of Herbig stars within 300 pc has been recently identified. Yet ~ 30 % of them lack broad-band spectroscopy. We propose to observe these 19 targets with X-Shooter, which will allow us to provide robust measurements of fundamental stellar parameters, accretion rates, and emission-line diagnostics of accretion and winds. Combined with similar X-Shooter-based data for the rest of the Gold Sample, results from this proposal will establish a homogeneous spectroscopic legacy for the whole nearby Herbig population, which is crucial to tackle long-standing problems like the early evolution of intermediate-mass stars, the unexpectedly extended disk lifetimes, the transition between accretion modes, and the connection between disks and planetary systems.",Valid,Dr. Ignacio Mendigutia,Pending,N/A
117.29NT,P117,A MUSE NFM exploration of the youngest externally photoevaporated planet forming disks in NGC2024,"Strong evidences that the Solar System formed nearby high-mass stars clash with the observations that planet forming disks in these environments survive such a short time, that planet formation could be completely suppressed. Here we want to test the hypothesis that there is enough time to form the planets if they are shielded by interstellar extinction for the first 0.5-1 Myr of their life. Instead of studying the already optically revealed but 1-3 Myr old Orion Nebula Cluster, we turn to its younger (0.5 Myr) nearby twin, NGC2024, the ""Flame Nebula"". Only the sensitivity and technical capability to AO-correct the IFS observations of MUSE NFM can for the first time unveal the surroundings of disks in this still embedded region. Building upon pioneering HST and JWST observations, we study the only 8 photoevaporated disks observable in this region. We will measure their mass loss rates and combine them to their ALMA-based disk masses, to firmly assess the time they have to form planets.",Valid,Dr. Carlo Felice Manara,No,-
117.2AVZ,FTC 117A,How Much Time Do Planets Have To Form? The Effect of External Photoevaporation on the Disk Lifetime,"Planets form in disks around low-mass stars. The disk lifetime is necessary for models of planet formation, yet it appears to vary widely between regions, due to survey sensitivity and physical effects like external photoevaporation. Most stars and planets form in massive star-forming regions where this destroys the planet-forming disks. Existing disk lifetime measurements target nearby, low-mass clusters or massive stars in more distant regions, causing significant bias. An unbiased comparison measures the surviving disk fraction in a consistent mass range across regions. We propose to make this critical measurement with wide-field HAWK-I J-, H-, and K-band images of the massive cluster Pismis 24. When combined with archival data, we will identify cluster members and measure the mass-limited disk fraction as a function of UV radiation. This is an essential test of the environmental dependence of the disk fraction to resolve the intra-cluster disk fraction tension in the literature.",Valid, Samuel Millstone,No,-
117.2A0Q,P117,Nature or Nurture? Using Accretion Timescales to Investigate Depleted Disks in Corona Australis,"A major hurdle in understanding planet formation is that the physical processes driving disk evolution remain poorly constrained. Studying relations among stellar and disk properties offers a promising avenue to constrain disk evolution mechanisms, but these must be investigated across different regions to account for age and environmental effects. The young Corona Australis (CrA) region is particularly intriguing: ALMA surveys reveal disks with masses comparable to those in much older populations, challenging conventional models of disk dispersal. To test whether CrA disks were born with small reservoirs or are evolving unusually fast, we propose VLT/X-Shooter observations to measure accretion depletion timescales (Mdisk/Macc) for 15 CrA sources with ALMA disk-mass estimates. This program will deliver the first statistically robust assessment of accretion in CrA, enabling direct comparison with other regions and clarifying the origin of its depleted disks.",Valid, Victor Almendros-Abad,No,-
